CHEMBL453716,C1COCCO1
CHEMBL555486,CC(C)(C)NO
CHEMBL294955,CCC(C)CN
CHEMBL56672,CC(=O)NC#N
CHEMBL3183525,CCSCCCl
CHEMBL3184786,CCN(O)CC
CHEMBL2392115,Nc1ncc[nH]1
CHEMBL2009648,N=C1SCCS1
CHEMBL3217770,Nc1cc[nH]n1
CHEMBL350303,CCNNCC
CHEMBL1495792,C1OCOCO1
CHEMBL2208211,CC(C)N=C=S
CHEMBL6960,CCCCON
CHEMBL300051,CC(N)P(O)O
CHEMBL2219717,N[C@@H]1COC1=O
CHEMBL368700,S=c1ccss1
CHEMBL8123,N#CN1CCC1
CHEMBL1207,[O-][S+]1CCCC1
CHEMBL1506228,C=CC(=O)CC
CHEMBL1341329,COC(=O)CS
CHEMBL1528028,NCCCCN
CHEMBL1231861,CC(C)(O)C#N
CHEMBL1255945,CCSC(=N)N
CHEMBL3184692,COCC(C)N
CHEMBL3275944,Cc1cc[nH]n1
CHEMBL3707258,OC(CI)CI
CHEMBL15487,C1CCNCC1
CHEMBL11860,S=C1NCCN1
CHEMBL449486,O=C(Cl)C(Cl)Cl
CHEMBL1379791,CCSC(=O)Cl
CHEMBL3182626,IC(I)=C(I)I
CHEMBL2104432,FCC(F)(F)F
CHEMBL1231082,CCO[PH](=O)O
CHEMBL277500,c1ccccc1
CHEMBL35308,O=C(O)C1CO1
CHEMBL116961,CC/N=C(/N)S
CHEMBL163957,C=CN(C)N=O
CHEMBL41873,NCP(=O)(O)O
CHEMBL2251726,CCCN=C=S
CHEMBL4085512,C=C(C=O)CC
CHEMBL156852,NC(=O)C(F)F
CHEMBL1964283,C1OC1C1CO1
CHEMBL1213528,C/C=C/C(=O)O
CHEMBL401514,C#CCN=C=S
CHEMBL3561873,CC(=O)C(C)O
CHEMBL3183047,CC(CO)CO
CHEMBL333298,CSCCC=O
CHEMBL18602,CCCCC=O
CHEMBL1445555,Cc1ccco1
CHEMBL1993907,CC(C)(C)CI
CHEMBL1967045,C/C=C(/I)CBr
CHEMBL1865594,Oc1nc[nH]n1
CHEMBL4245903,C=CC(C)(C)O
CHEMBL3187551,OCC#CCO
CHEMBL1971812,C/C(N)=[N+](/C)[O-]
CHEMBL164852,CCN(C)N=O
CHEMBL116675,OCC(F)(F)F
CHEMBL1232569,Brc1c[nH]cn1
CHEMBL1229937,O=C(CO)CO
CHEMBL1884429,C/C=C(/C)C#N
CHEMBL69291,CCS(N)(=O)=O
CHEMBL339711,CONC(N)=O
CHEMBL1580503,CC1CCCO1
CHEMBL3183607,COC(C)OC
CHEMBL4073377,CC#CC(=O)O
CHEMBL155816,ClCC(Cl)(Cl)Cl
CHEMBL3306384,O=S(=O)(O)CO
CHEMBL4060934,O=C(O)C1CN1
CHEMBL350215,ClCCCCBr
CHEMBL1451833,N#C/C=C/C#N
CHEMBL163849,C=CS(C)(=O)=O
CHEMBL156196,NC(=O)C(Br)Br
CHEMBL119837,CSCCC#N
CHEMBL1868166,Nn1cnnc1
CHEMBL3098154,CC(CO)CS
CHEMBL44658,CCC(C)(C)O
CHEMBL118705,OC1CCNC1
CHEMBL1229081,NCCC(N)=O
CHEMBL351479,O=NN1CCC1
CHEMBL1236690,C=CS(=O)(=O)O
CHEMBL3186306,COCC(C)O
CHEMBL3982678,CC#CCCN
CHEMBL3185899,CC/C=C\C#N
CHEMBL122235,C1=CN=CNC1
CHEMBL27551,O=CC(Cl)(Cl)Cl
CHEMBL2398099,SC1=NCCS1
CHEMBL42434,CCCCCF
CHEMBL233248,C=CCN=C=S
CHEMBL3183942,N#CNC(=N)N
CHEMBL2312529,CC(O)C(C)O
CHEMBL3561140,C=C(C)CCO
CHEMBL150650,COS(N)(=O)=O
CHEMBL134941,NNC(=O)NO
CHEMBL104897,CC[N+](C)(C)C
CHEMBL116834,NC(CO)CO
CHEMBL449362,O=C(O)C(Br)Br
CHEMBL358697,O=C(O)CCS
CHEMBL1408488,O=C(O)C(=O)O
CHEMBL3039661,CCOC(=S)S
CHEMBL1477797,C/C(Cl)=C/CCl
CHEMBL448994,O=C[C@H](Br)CBr
CHEMBL15939,CCCCCC
CHEMBL344760,Nc1nccs1
CHEMBL541730,FC(F)=C(F)F
CHEMBL1162282,NCC(F)(F)F
CHEMBL1697852,OCC(Br)(Br)Br
CHEMBL3186752,SC1CCCC1
CHEMBL177307,CCC(I)CC
CHEMBL295053,Nc1ncns1
CHEMBL692,OCC(O)CO
CHEMBL2269088,CC/C=C\CO
CHEMBL2333073,N#CC(=O)C#N
CHEMBL2106907,O=S(=O)([O-])CI
CHEMBL49963,O=CNC1CC1
CHEMBL1449933,CCC[N+](=O)[O-]
CHEMBL64560,Clc1ncc[nH]1
CHEMBL1171859,NC1CCCC1
CHEMBL1234459,Cn1cccc1
CHEMBL1988732,CSCSSC
CHEMBL324774,O=[N+]([O-])CCO
CHEMBL52190,O=C1C=CCC1
CHEMBL3185046,CCC=CC#N
CHEMBL338595,O=C1CNCS1
CHEMBL3352948,C#CC(=O)NC
CHEMBL477368,Cc1nnn[nH]1
CHEMBL357767,CCC(C)CC
CHEMBL447467,N=C(N)NN=O
CHEMBL3185216,COC(=O)OC
CHEMBL1170806,O=c1ccss1
CHEMBL2287517,OC1CCOC1
CHEMBL2271405,C=CC(O)C#N
CHEMBL1990145,CONC(C)=O
CHEMBL1548726,C=CCCCC
CHEMBL426643,Cc1cc[nH]c1
CHEMBL98381,ClC1NC=CN1
CHEMBL122588,CC(C)(N)CO
CHEMBL241347,NCC(=O)NN
CHEMBL14152,CCOC(C)=O
CHEMBL2270393,CCCOC=O
CHEMBL3185965,O=CNNC=O
CHEMBL142735,CCC(C)(C)C
CHEMBL504842,O=C(O)C(Cl)Br
CHEMBL16396,C1=CCCCC1
CHEMBL449666,OC(Cl)C(Cl)Cl
CHEMBL3185860,N#CCC(=O)O
CHEMBL3185494,O=S(=O)([O-])CO
CHEMBL15976,NC(=O)C(=O)O
CHEMBL42003,CC(C)CCN
CHEMBL3560782,COCCC#N
CHEMBL142556,FC(F)(F)CCl
CHEMBL3185538,ON=CC=NO
CHEMBL372396,CC(C)CCO
CHEMBL3247435,NCC(N)CS
CHEMBL1562258,N#CCCC#N
CHEMBL3234431,CCP(=O)(O)O
CHEMBL108778,CC(C)C(=O)O
CHEMBL1361205,CC1CC(=O)O1
CHEMBL3561007,O=S1OCCO1
CHEMBL1527556,CN(C)C(=O)Cl
CHEMBL114062,ClC(Cl)=C(Cl)Cl
CHEMBL4085845,O=C(O)/C=N/O
CHEMBL2071269,C1OOCOO1
CHEMBL3185949,OCC(O)CCl
CHEMBL2333141,C1CSCCN1
CHEMBL3181818,NNC(=S)NN
CHEMBL3352949,CNC(=O)CBr
CHEMBL261886,CC(C)[N+](=O)[O-]
CHEMBL1743205,CC(Cl)C(=O)O
CHEMBL2107613,CN(C)CCS
CHEMBL3186458,COCCCN
CHEMBL12034,O=C1NCCN1
CHEMBL119596,CCOCCO
CHEMBL3276492,O=C(CO)CF
CHEMBL2106422,C=CS(=O)(=O)[O-]
CHEMBL3899142,NC/C=C/CN
CHEMBL453815,CC(C)=CC=O
CHEMBL2333142,N#CCC(N)=O
CHEMBL2448941,CN(C)CC#N
CHEMBL171266,NC(=O)CCCl
CHEMBL3183964,CO[PH](=O)OC
CHEMBL274503,NC(=O)C1CC1
CHEMBL452927,C[C@H]1CC(=O)O1
CHEMBL11873,CC(=O)N(C)C
CHEMBL3183406,CCOC(=O)Cl
CHEMBL297569,NCCC(=O)O
CHEMBL451923,CCC(C)CO
CHEMBL3188586,OC/C=C/CO
CHEMBL1231396,CCCC(N)=O
CHEMBL1619936,CCCCNN
CHEMBL2028362,NCS(=O)(=O)[O-]
CHEMBL1256289,NC(=O)C(=O)[O-]
CHEMBL327032,CCC(N)CO
CHEMBL3183973,CCC(=O)OC
CHEMBL56395,O=C1CCCS1
CHEMBL665,CN1CCCC1
CHEMBL3183042,CC(Cl)C(Cl)Cl
CHEMBL3890628,NNC(=O)CS
CHEMBL98364,FC1NC=CN1
CHEMBL45315,CCC(=O)CC
CHEMBL3352942,C=CC(=O)NC
CHEMBL3188262,CCNCCO
CHEMBL14178,CCC(N)CC
CHEMBL89684,O=C(O)[C@H]1CS1
CHEMBL3814876,OC(F)(F)CF
CHEMBL3184288,C=C(C)C(=O)[O-]
CHEMBL3188766,ClSC(Cl)(Cl)Cl
CHEMBL45065,CCCC(C)O
CHEMBL69446,NC1=NCCO1
CHEMBL293391,Cc1ncc[nH]1
CHEMBL3560005,NC(=O)C1CO1
CHEMBL3947059,N#CC#CCN
CHEMBL177097,NCC(O)CN
CHEMBL2139230,CC/C(C)=N/O
CHEMBL166223,O=C1C=CCO1
CHEMBL3184439,C1=COCCC1
CHEMBL297216,CCCNC=O
CHEMBL174165,CNCCCN
